CatalogID,ProductionDate,ReleaseDate,Number,ProductGroupID
D66BF882-AD20-4402-8650-1F732BFE8133,2012-04-01 00:00:00,2009-01-01 11:27:24,9822/0765,E6206E74-E250-492B-A203-F69326C31B4B
445D2D5B-862E-4F04-9E7F-1F9C01E25F2E,2008-03-01 00:00:00,2006-06-29 00:00:00,9812/7200,
E2DFE23B-B24B-4BED-9F6F-1FD72D1AA6E6,,2011-07-28 09:49:40,9822/0410,
36EA547C-8272-4A56-B5FC-20031EA46290,1989-11-23 15:35:32,1985-04-29 00:00:00,9802/7400,E6206E74-E250-492B-A203-F69326C31B4B
6E367063-0CE2-4899-A3FB-2059C5FF0FF3,2005-04-29 13:13:09,2002-07-15 00:00:00,9802/2675,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
E990D0C5-F121-4C38-9502-2068FD0C3D90,,2007-04-16 00:00:00,9802/5930,59DE41B8-D56A-401C-BE0E-39CA6404D531
F561520C-8170-43C0-BA4D-20D4475390FD,,2013-10-23 14:30:34,9822/0790,59DE41B8-D56A-401C-BE0E-39CA6404D531
0B0DCCE9-7F7D-487C-9A04-21491EE07378,2003-06-17 00:00:00,1999-12-21 00:00:00,9802/7890,E6206E74-E250-492B-A203-F69326C31B4B
4DA22922-EE06-4ACE-9EC0-21CFA6773CDE,2007-07-02 00:00:00,2006-02-01 00:00:00,9812/7030,
5D27A883-3C8F-47A6-8EBF-21DBEE71BA40,1995-11-28 11:36:59,1992-12-03 00:00:00,9802/8820,91A20DA3-5B80-4DA6-84ED-4BAA3300F810
328325E1-A8CE-489B-894F-220E6406F8A3,,2014-11-05 17:06:41,9822/0965,59DE41B8-D56A-401C-BE0E-39CA6404D531
4715B253-909E-4634-A67F-227DF2423D62,,2007-07-16 00:00:00,9812/5000,59DE41B8-D56A-401C-BE0E-39CA6404D531
DA77F5D0-6AAC-4B4D-91F0-22A42CF98DC4,,2010-07-19 11:02:19,9822/0190,B52A9096-4EFA-4004-BC6C-D0EA1E0BB202
EDD557DC-7842-41C6-A911-22F55AF685BD,,2015-02-05 16:03:21,9812/6700,
F19A863E-1AF9-4E38-85EC-23D8490EB1C8,,2011-04-04 15:24:11,9822/0355,59DE41B8-D56A-401C-BE0E-39CA6404D531
23013804-D93E-47DE-AC44-2446B303A62A,2004-01-20 00:00:00,1996-08-30 00:00:00,9802/5760,59DE41B8-D56A-401C-BE0E-39CA6404D531
B1343E10-5973-497A-B71F-246A55DB12B3,,2010-07-12 13:20:13,9812/5115,
FABD5A96-975E-4D14-AA28-25175A7A1CB4,,2008-05-01 00:00:00,9802/4900,BF54B40E-231F-4D60-A128-279000C1D624
F0088930-3A0F-42ED-B614-253E116E8656,,,9812/4235,6A35BF04-B5B7-4503-ADF8-B577DFFEC2D2
6D18F17F-96AB-4223-A93F-2572543907A4,,2012-05-14 16:11:14,9822/0400,2B0BB246-BF29-4B57-B9DC-62A80A3C112A
2E7ED899-D91E-4F13-B1C4-260455EFBAE4,,2013-02-26 14:44:10,9822/0640,
EE40091E-8DE8-418D-9C21-26866F238FF0,,2010-08-19 09:23:40,9822/0210,4352820D-226D-4FA6-987C-BB96FE95B96F
D51C1BC9-0E86-4CD4-9D89-27375AEC2C34,2014-02-01 00:00:00,2006-06-16 00:00:00,9812/9000,A2E464FA-1289-481A-B439-A6CBF5F0D0E5
AB3ABCA8-579E-4E25-AFEC-274B7C4101EC,2000-11-30 00:00:00,1998-02-05 00:00:00,9802/6640,CBBC753F-26FB-439E-99C7-99F7067409EC
75E0CA50-4BEB-4E4C-AC3F-27A6EDD021FB,2004-02-12 10:36:40,2003-09-23 00:00:00,9802/7160,E6206E74-E250-492B-A203-F69326C31B4B
BCEBEBFA-3B33-41AB-9210-2806632F0AA4,2003-06-13 14:10:51,2002-12-19 00:00:00,9802/9739,89FB1C3F-5F21-4FE9-A339-341AA83A5284
CCA22D83-807A-493F-A27C-280B1EC06E7C,2008-04-30 00:00:00,2006-10-31 00:00:00,9802/6540,6C3FDBF7-7361-40C7-8468-C55F108EC244
88B2EE39-3510-410B-A107-28C18DD9FC5F,,2009-06-10 17:11:25,9812/4100,
2E97DE30-2F4D-443C-8ECA-28F1AAF5F2E1,2009-10-23 00:00:00,2009-09-23 00:00:00,9812/0110,89FB1C3F-5F21-4FE9-A339-341AA83A5284
98E6F133-0938-459B-9E2C-290335AEF2FC,,2010-10-12 10:16:46,JS520 T3,59DE41B8-D56A-401C-BE0E-39CA6404D531
8157FD7D-8572-44FF-ACF4-2916FB89FBD5,,2014-03-29 13:42:32,9822/0855,CBBC753F-26FB-439E-99C7-99F7067409EC
F07FDF52-352A-4B11-BBC1-295530E6E69C,2005-01-01 00:00:00,1997-01-01 11:25:52,VIBROMAX,BF54B40E-231F-4D60-A128-279000C1D624
7699A124-832A-4A89-97CC-2972C259D0D4,2006-03-22 12:45:22,2003-01-31 00:00:00,9802/9620,89FB1C3F-5F21-4FE9-A339-341AA83A5284
4BC50F9A-1566-461A-A051-29D4ABB7EF69,2000-12-22 00:00:00,1998-02-05 00:00:00,9802/6650,CBBC753F-26FB-439E-99C7-99F7067409EC
471E7BEC-F3C1-42AF-955B-29EB0A67FC33,2005-11-29 09:49:06,2004-03-08 00:00:00,9802/7130,E6206E74-E250-492B-A203-F69326C31B4B
34392F75-BCF9-4245-99D4-29F964F42751,1996-09-10 16:31:25,1996-08-01 00:00:00,9802/2253,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
E1B32A87-A060-4E3C-8CBF-2A3293C4CF25,,2015-11-05 15:57:42,9822/1040,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
18822DC6-EAA1-4F87-8FE9-2A86A806D1F3,,,9802/9980,01D72A7D-B1E6-4C44-9643-DCA8C8F95321
9347A496-419E-48A5-9270-2B5B3CA561C9,,2014-11-26 10:57:23,9822/0975,59DE41B8-D56A-401C-BE0E-39CA6404D531
EB608A83-37C4-4EEE-9435-2B67350693E3,1997-11-11 17:33:42,1993-12-06 00:00:00,9802/5650,8051DE7A-12ED-4D7A-85F2-1CBFA46B44DA
8B692FEA-16B2-4C01-9262-2B7DF097D993,,2008-08-13 15:55:24,9812/5095,
E63C0F7D-3D09-4BBB-BB72-2B9A05AF8F39,,2015-01-13 13:36:19,9812/6500,
BE6E9140-DA58-4B1B-ABDE-2BA8EE3601D4,2009-11-01 00:00:00,2009-11-01 00:00:00,9812/2520,01D72A7D-B1E6-4C44-9643-DCA8C8F95321
204D4917-4E00-446F-A1BC-2BE51B03CBFA,,2008-05-01 00:00:00,9802/4980,8ACF0782-5046-4AA2-ABB2-67AFC900A318
5F62A017-83B0-4E12-986C-2C38A123C5B5,,2007-09-27 00:00:00,9802/5880,59DE41B8-D56A-401C-BE0E-39CA6404D531
2AD84F27-7DCE-4A63-ACA3-2C8DD6BB58EE,1998-01-28 12:53:10,1998-01-28 00:00:00,9802/9709,89FB1C3F-5F21-4FE9-A339-341AA83A5284
9DF5C172-0F4B-4B81-991B-2C971AEF8797,,2011-10-03 15:32:00,9822/0435,
398D5082-9E33-4119-98A0-2CD46DE16F08,2004-08-25 00:00:00,1996-09-09 00:00:00,9802/5770,59DE41B8-D56A-401C-BE0E-39CA6404D531
D665CE15-98AB-47BE-8115-2CDC06A2896C,,2013-11-17 17:14:57,9822/0810,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
FF0F98A0-F4BB-499D-A1D5-2D583C578182,,2007-01-01 00:00:00,9812/7095,
2B4F436C-4D9E-4D6D-8145-2DC5354DFBB3,2012-04-27 09:59:42,1996-04-19 00:00:00,9802/7820,E6206E74-E250-492B-A203-F69326C31B4B
7FDD52C5-0E5A-44C4-A363-2E1AFCA40237,2006-09-07 17:30:26,2003-04-30 00:00:00,9802/5460,B52A9096-4EFA-4004-BC6C-D0EA1E0BB202
5813133B-2E70-4809-80D8-2EF1A3E00D83,,2005-11-01 00:00:00,9802/4800,8ACF0782-5046-4AA2-ABB2-67AFC900A318
4CB6C149-F7AB-4B53-9934-2F19CAAF14A9,,2001-03-01 00:00:00,9802/9010,8184791B-FFAE-4080-BAD1-FF26C71DA4D8
4918B54A-EB64-4E47-A306-2F9A3AD1404F,,,9812/9270,
BA69CAF3-9979-44C8-80BD-305354BD2526,2007-08-22 00:00:00,1999-11-23 00:00:00,9802/4530,C6B07E15-C6D7-4F64-B159-DE57C9118FFF
15FD07D3-A7EC-4E75-8B7F-309531833491,1997-09-01 09:53:18,1993-11-29 00:00:00,9802/7700,E6206E74-E250-492B-A203-F69326C31B4B
EF77013B-DA7C-4D5C-9865-30BA1A46BC2B,,2012-07-12 09:54:35,9822/0545,59DE41B8-D56A-401C-BE0E-39CA6404D531
49899E35-68A0-49BD-93B0-3199E78DD6E8,,2014-03-04 09:24:45,9822/0840,DB5C285B-884C-4ABD-900A-DB033A91551D
6FB87A4E-7959-41B6-A007-32153955E3B8,,2014-09-22 12:04:50,9822/0955,C95AB666-6E0A-413B-AEB4-27B07F6075BE
C1583E78-79CA-4329-8256-321E8F5FDC22,,2013-11-18 17:15:29,9822/0815,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
825332B0-8CBB-4814-B196-32220B8F216B,,2015-04-30 07:45:59,9812/2550,FF80B63B-0172-46B5-B9C5-4C6845EAE72B
